employee_id,name,department,date,status,check_in_time,check_out_time,project_code,location
1421,Employee_1421,HR,15/11/2025,Present,10:18:00,17:38:00,PRJ102,Remote
1391,Employee_1391,Audit,13/03/2025,Absent,,,PRJ301,Office
1357,Employee_1357,Audit,09/02/2025,Present,9:54:00,17:15:00,PRJ201,Office
1206,Employee_1206,Consulting,30/04/2025,Present,10:37:00,18:54:00,PRJ201,Office
1358,Employee_1358,Finance,19/10/2025,Present,9:16:00,19:02:00,PRJ101,Remote
1125,Employee_1125,HR,01/10/2025,Present,10:59:00,18:19:00,PRJ401,Remote
1462,Employee_1462,HR,14/10/2025,Present,10:52:00,18:17:00,PRJ101,Remote
1315,Employee_1315,Consulting,07/03/2025,Present,10:14:00,17:58:00,PRJ101,Office
1304,Employee_1304,Finance,15/07/2025,Absent,,,PRJ301,Remote
1275,Employee_1275,IT,14/05/2025,Present,9:03:00,17:24:00,PRJ101,Office
1130,Employee_1130,Consulting,03/05/2025,Present,10:03:00,19:43:00,PRJ401,Office
1081,Employee_1081,Audit,27/11/2025,Absent,,,PRJ101,Remote
1166,Employee_1166,Audit,13/08/2025,Leave,,,PRJ401,Office
1370,Employee_1370,Audit,21/02/2025,Present,10:37:00,19:34:00,PRJ301,Office
1453,Employee_1453,Consulting,10/04/2025,Leave,,,PRJ101,Office
1421,Employee_1421,Consulting,27/12/2025,Leave,,,PRJ401,Remote
1197,Employee_1197,Finance,20/07/2025,Present,10:21:00,17:09:00,PRJ301,Remote
1038,Employee_1038,IT,29/10/2025,Present,10:45:00,17:41:00,PRJ102,Remote
1403,Employee_1403,HR,09/03/2025,Present,9:19:00,18:34:00,PRJ102,Remote
1446,Employee_1446,Audit,16/05/2025,Present,9:08:00,17:20:00,PRJ401,Office
1255,Employee_1255,Consulting,26/01/2025,Present,10:37:00,17:17:00,PRJ401,Remote
1067,Employee_1067,Finance,09/09/2025,Present,10:25:00,18:15:00,PRJ401,Remote
1316,Employee_1316,Audit,26/02/2025,Present,10:21:00,17:51:00,PRJ102,Office
1131,Employee_1131,Audit,26/07/2025,Present,10:00:00,19:53:00,PRJ201,Remote
1311,Employee_1311,Consulting,19/01/2025,Present,9:51:00,17:06:00,PRJ101,Office
1450,Employee_1450,IT,19/06/2025,Present,10:49:00,18:50:00,PRJ101,Remote
1358,Employee_1358,Consulting,21/01/2025,Leave,,,PRJ401,Remote
1006,Employee_1006,Audit,06/05/2025,Present,10:28:00,19:40:00,PRJ401,Office
1160,Employee_1160,Finance,19/09/2025,Present,9:48:00,19:59:00,PRJ201,Remote
1294,Employee_1294,Audit,12/04/2025,Present,10:38:00,17:19:00,PRJ301,Office
1390,Employee_1390,Audit,17/02/2025,Present,10:34:00,18:48:00,PRJ102,Office
1279,Employee_1279,IT,19/12/2025,Present,10:02:00,17:32:00,PRJ401,Remote
1035,Employee_1035,Finance,22/06/2025,Present,10:32:00,18:47:00,PRJ201,Remote
1205,Employee_1205,IT,03/10/2025,Present,10:04:00,18:33:00,PRJ201,Office
1492,Employee_1492,IT,02/09/2025,Present,9:20:00,19:40:00,PRJ102,Office
1377,Employee_1377,Consulting,05/12/2025,Absent,,,PRJ401,Office
1091,Employee_1091,HR,29/07/2025,Present,10:59:00,19:05:00,PRJ102,Remote
1391,Employee_1391,Finance,08/12/2025,Present,9:35:00,19:05:00,PRJ301,Office
1240,Employee_1240,IT,24/06/2025,Present,10:57:00,18:29:00,PRJ101,Office
1156,Employee_1156,Finance,18/03/2025,Present,10:35:00,17:02:00,PRJ201,Office
1145,Employee_1145,HR,28/03/2025,Present,9:05:00,19:31:00,PRJ101,Remote
1132,Employee_1132,Consulting,05/12/2025,Present,10:16:00,19:51:00,PRJ301,Office
1275,Employee_1275,HR,16/05/2025,Present,10:30:00,18:47:00,PRJ201,Office
1394,Employee_1394,Consulting,20/12/2025,Leave,,,PRJ401,Remote
1436,Employee_1436,Finance,15/03/2025,Present,10:30:00,17:48:00,PRJ101,Remote
1211,Employee_1211,HR,01/01/2026,Absent,,,PRJ401,Office
1376,Employee_1376,IT,13/02/2025,Present,10:10:00,19:03:00,PRJ301,Remote
1146,Employee_1146,IT,30/09/2025,Present,10:54:00,17:20:00,PRJ301,Remote
1218,Employee_1218,Consulting,14/12/2025,Leave,,,PRJ301,Remote
1402,Employee_1402,Consulting,19/08/2025,Absent,,,PRJ201,Remote
1492,Employee_1492,HR,09/01/2025,Present,10:09:00,19:15:00,PRJ201,Office
1354,Employee_1354,Finance,12/08/2025,Leave,,,PRJ102,Remote
1487,Employee_1487,HR,06/06/2025,Leave,,,PRJ201,Office
1065,Employee_1065,IT,07/05/2025,Present,9:34:00,18:58:00,PRJ301,Remote
1020,Employee_1020,IT,20/12/2025,Present,10:11:00,18:04:00,PRJ401,Office
1202,Employee_1202,Finance,16/06/2025,Present,9:48:00,17:09:00,PRJ301,Office
1476,Employee_1476,Audit,17/02/2025,Present,9:11:00,17:38:00,PRJ301,Remote
1324,Employee_1324,Consulting,19/11/2025,Present,10:34:00,19:07:00,PRJ401,Office
1058,Employee_1058,Audit,21/02/2025,Present,9:02:00,19:27:00,PRJ101,Office
1481,Employee_1481,HR,09/03/2025,Leave,,,PRJ301,Office
1405,Employee_1405,Finance,12/02/2025,Present,10:05:00,17:39:00,PRJ301,Office
1494,Employee_1494,Finance,29/05/2025,Present,10:17:00,17:26:00,PRJ401,Office
1432,Employee_1432,HR,31/07/2025,Present,10:34:00,17:49:00,PRJ101,Remote
1124,Employee_1124,Audit,04/11/2025,Present,9:54:00,19:03:00,PRJ401,Office
1395,Employee_1395,HR,19/11/2025,Absent,,,PRJ102,Remote
1445,Employee_1445,Audit,08/03/2025,Present,10:48:00,18:13:00,PRJ401,Office
1331,Employee_1331,HR,06/11/2025,Present,9:47:00,17:41:00,PRJ201,Remote
1117,Employee_1117,IT,22/07/2025,Present,10:08:00,18:38:00,PRJ201,Office
1415,Employee_1415,Finance,02/08/2025,Present,10:09:00,17:07:00,PRJ101,Remote
1357,Employee_1357,Consulting,09/05/2025,Present,9:23:00,19:14:00,PRJ102,Remote
1425,Employee_1425,IT,19/07/2025,Present,10:46:00,17:48:00,PRJ102,Office
1321,Employee_1321,HR,27/06/2025,Present,9:26:00,18:10:00,PRJ401,Office
1173,Employee_1173,Audit,09/10/2025,Present,9:58:00,18:47:00,PRJ401,Office
1095,Employee_1095,IT,25/04/2025,Absent,,,PRJ301,Office
1184,Employee_1184,IT,21/09/2025,Present,9:49:00,17:07:00,PRJ101,Office
1365,Employee_1365,Consulting,25/08/2025,Absent,,,PRJ102,Remote
1448,Employee_1448,Finance,06/11/2025,Present,9:07:00,18:30:00,PRJ401,Remote
1173,Employee_1173,Finance,11/08/2025,Present,9:08:00,19:25:00,PRJ102,Office
1090,Employee_1090,IT,17/04/2025,Present,9:58:00,18:35:00,PRJ401,Remote
1387,Employee_1387,Audit,19/09/2025,Present,9:09:00,18:29:00,PRJ301,Remote
1013,Employee_1013,IT,30/09/2025,Absent,,,PRJ101,Office
1421,Employee_1421,Consulting,18/04/2025,Present,9:43:00,18:14:00,PRJ201,Office
1144,Employee_1144,Audit,14/04/2025,Present,9:55:00,19:38:00,PRJ301,Remote
1370,Employee_1370,HR,24/09/2025,Present,9:31:00,18:52:00,PRJ102,Office
1081,Employee_1081,Consulting,04/02/2025,Present,9:42:00,19:16:00,PRJ101,Office
1477,Employee_1477,Finance,26/11/2025,Present,9:56:00,17:12:00,PRJ102,Office
1426,Employee_1426,Consulting,29/04/2025,Present,9:33:00,18:50:00,PRJ401,Office
1330,Employee_1330,HR,26/07/2025,Present,9:55:00,18:19:00,PRJ102,Office
1233,Employee_1233,Audit,20/09/2025,Present,9:08:00,18:28:00,PRJ101,Office
1330,Employee_1330,Finance,10/09/2025,Present,10:11:00,18:40:00,PRJ401,Office
